X,Y,fid,full_id,osm_id,osm_type,material,descriptio,icon_url
-0.1247703,49.2877485999872,1,n1395447179,"1395447179",node,,,./0.png
-0.124633,49.2876591999873,2,n1395447178,"1395447178",node,,,./0.png
-0.1389779,49.2896600999873,3,n3009454333,"3009454333",node,,,./0.png
-0.1384357,49.2897835999873,4,n3009454233,"3009454233",node,,,./0.png
-0.1370984,49.2900193999873,5,n3009453833,"3009453833",node,,,./0.png
-0.138084,49.2898428999873,6,n3009453634,"3009453634",node,,,./0.png
-0.1375902,49.2899279999873,7,n3009454133,"3009454133",node,,,./0.png
-0.1373822,49.2899656999873,8,n3009453933,"3009453933",node,,,./0.png
-0.1386627,49.2897469999873,9,n3009412435,"3009412435",node,,,./0.png
-0.1362781,49.2901697999873,10,n3009453633,"3009453633",node,,,./0.png
-0.135733,49.2902596999873,11,n3009453533,"3009453533",node,,,./0.png
-0.1249111,49.2922882999873,12,n1393704313,"1393704313",node,,,./0.png
-0.1249786,49.2922761999873,13,n1393704312,"1393704312",node,,,./0.png
-0.127201,49.2918146999873,14,n1396418306,"1396418306",node,,,./0.png
-0.1060049,49.2946427999873,15,n5020463617,"5020463617",node,,,./0.png
-0.1060814,49.2946462999873,16,n5020463616,"5020463616",node,,,./0.png
-0.116841,49.2874825999873,17,n6064232190,"6064232190",node,,,./0.png
-0.1242788,49.2878527999873,18,n1395452389,"1395452389",node,,,./0.png
-0.1213498,49.2875778999873,19,n5032719265,"5032719265",node,wood,,./0.png
-0.1052755,49.2963004999873,20,n5020609246,"5020609246",node,,,./0.png
-0.1052216,49.2963102999873,21,n5020609245,"5020609245",node,,,./0.png
-0.1059421,49.2961649999873,22,n5020609248,"5020609248",node,,,./0.png
-0.1058881,49.2961747999873,23,n5020609247,"5020609247",node,,,./0.png
-0.1044387,49.2964788999873,24,n5020609242,"5020609242",node,,,./0.png
-0.1043847,49.2964887999873,25,n5020609241,"5020609241",node,,,./0.png
-0.1048638,49.2963870999873,26,n5020609244,"5020609244",node,,,./0.png
-0.1271501,49.2918298999873,27,n5020582659,"5020582659",node,,,./0.png
-0.1048098,49.2963968999873,28,n5020609243,"5020609243",node,,,./0.png
-0.1266834,49.2919278999873,29,n5020582658,"5020582658",node,,,./0.png
-0.1035187,49.2966669999873,30,n5020609238,"5020609238",node,,,./0.png
-0.1034647,49.2966767999873,31,n5020609237,"5020609237",node,,,./0.png
-0.1039492,49.2965724999873,32,n5020609240,"5020609240",node,,,./0.png
-0.1261054,49.2920424999873,33,n5020582655,"5020582655",node,,,./0.png
-0.1038952,49.2965822999873,34,n5020609239,"5020609239",node,,,./0.png
-0.1258479,49.2921018999873,35,n5020582654,"5020582654",node,,,./0.png
-0.1266325,49.2919400999873,36,n5020582657,"5020582657",node,,,./0.png
-0.1261631,49.2920327999873,37,n5020582656,"5020582656",node,,,./0.png
-0.1228251,49.2927141999873,38,n5020582577,"5020582577",node,,,./0.png
-0.1163308,49.2877670999873,39,n5023907514,"5023907514",node,,,./0.png
-0.1222993,49.2928234999873,40,n5020582576,"5020582576",node,,,./0.png
-0.1257902,49.2921141999873,41,n5020582653,"5020582653",node,,,./0.png
-0.1241179,49.2924526999873,42,n5020582652,"5020582652",node,,,./0.png
-0.1217019,49.2929398999873,43,n5020582573,"5020582573",node,,,./0.png
-0.1207872,49.2931278999873,44,n5020582572,"5020582572",node,,,./0.png
-0.122239,49.2928357999873,45,n5020582575,"5020582575",node,,,./0.png
-0.1217622,49.2929275999873,46,n5020582574,"5020582574",node,,,./0.png
-0.1202361,49.2932459999873,47,n5020582569,"5020582569",node,,,./0.png
-0.1193348,49.2934269999873,48,n5020582568,"5020582568",node,,,./0.png
-0.1207269,49.2931401999873,49,n5020582571,"5020582571",node,,,./0.png
-0.1202964,49.2932336999873,50,n5020582570,"5020582570",node,,,./0.png
-0.11816,49.2936701999873,51,n5020582565,"5020582565",node,,,./0.png
-0.1192745,49.2934392999873,52,n5020582567,"5020582567",node,,,./0.png
-0.1182204,49.2936579999873,53,n5020582566,"5020582566",node,,,./0.png
-0.117639,49.2937750999873,54,n1392009955,"1392009955",node,,,./0.png
-0.1142207,49.2944629999873,55,n5020605482,"5020605482",node,,,./0.png
-0.1141667,49.2944727999873,56,n5020605481,"5020605481",node,,,./0.png
-0.1172851,49.2938480999873,57,n5020605484,"5020605484",node,,,./0.png
-0.1172312,49.2938578999873,58,n5020605483,"5020605483",node,,,./0.png
-0.1187766,49.2935446999873,59,n1392009944,"1392009944",node,,,./0.png
-0.1130405,49.2947112999873,60,n5020605478,"5020605478",node,,,./0.png
-0.1187335,49.2935535999873,61,n1392009941,"1392009941",node,,,./0.png
-0.1129866,49.2947211999873,62,n5020605477,"5020605477",node,,,./0.png
-0.117693,49.2937651999873,63,n1392009950,"1392009950",node,,,./0.png
-0.113758,49.2945564999873,64,n5020605480,"5020605480",node,,,./0.png
-0.1240958,49.2913107999873,65,n5668902175,"5668902175",node,,,./0.png
-0.113704,49.2945663999873,66,n5020605479,"5020605479",node,,,./0.png
-0.119589,49.2933696999873,67,n1392009927,"1392009927",node,,,./0.png
-0.1165269,49.2835109999873,68,n7919905565,"7919905565",node,,,./0.png
-0.1118443,49.2949535999873,69,n5020605474,"5020605474",node,,,./0.png
-0.1117903,49.2949633999873,70,n5020605473,"5020605473",node,,,./0.png
-0.112311,49.2948556999873,71,n5020605476,"5020605476",node,,,./0.png
-0.1196456,49.2933566999873,72,n1392009929,"1392009929",node,,,./0.png
-0.112257,49.2948654999873,73,n5020605475,"5020605475",node,,,./0.png
-0.1213582,49.2930147999873,74,n1392009920,"1392009920",node,,,./0.png
-0.1110543,49.2951118999873,75,n5020605470,"5020605470",node,,,./0.png
-0.1110004,49.2951217999873,76,n5020605469,"5020605469",node,,,./0.png
-0.1213059,49.2930242999873,77,n1392009924,"1392009924",node,,,./0.png
-0.1112166,49.2950830999873,78,n5020605472,"5020605472",node,,,./0.png
-0.1111627,49.2950928999873,79,n5020605471,"5020605471",node,,,./0.png
-0.1100458,49.2953191999873,80,n5020605466,"5020605466",node,,,./0.png
-0.122759,49.2927276999873,81,n1392009901,"1392009901",node,,,./0.png
-0.1099919,49.2953289999873,82,n5020605465,"5020605465",node,,,./0.png
-0.1219391,49.2929075999873,83,n1392009904,"1392009904",node,,,./0.png
-0.1104267,49.2952413999873,84,n5020605468,"5020605468",node,,,./0.png
-0.1103727,49.2952511999873,85,n5020605467,"5020605467",node,,,./0.png
-0.1090963,49.2955194999873,86,n5020605462,"5020605462",node,,,./0.png
-0.1234156,49.2925930999873,87,n1392009893,"1392009893",node,,,./0.png
-0.1090424,49.2955292999873,88,n5020605461,"5020605461",node,,,./0.png
-0.1241608,49.2924409999873,89,n1392009877,"1392009877",node,,,./0.png
-0.1080097,49.2957383999873,90,n5020609253,"5020609253",node,,,./0.png
-0.1094544,49.2954442999873,91,n5020605464,"5020605464",node,,,./0.png
-0.1152266,49.2934673999873,92,n2244481131,"2244481131",node,,,./0.png
-0.1094004,49.2954540999873,93,n5020605463,"5020605463",node,,,./0.png
-0.1233596,49.2926009999873,94,n1392009898,"1392009898",node,,,./0.png
-0.1080637,49.2957284999873,95,n5020605458,"5020605458",node,,,./0.png
-0.1151447,49.2932628999873,96,n2244481111,"2244481111",node,,,./0.png
-0.1063779,49.2960791999873,97,n5020609250,"5020609250",node,,,./0.png
-0.1157881,49.2933504999873,98,n2244481122,"2244481122",node,,,./0.png
-0.1063239,49.2960890999873,99,n5020609249,"5020609249",node,,,./0.png
-0.1087584,49.2955859999873,100,n5020605460,"5020605460",node,,,./0.png
-0.1069103,49.2959672999873,101,n5020609252,"5020609252",node,,,./0.png
-0.1087044,49.2955957999873,102,n5020605459,"5020605459",node,,,./0.png
-0.1068564,49.2959770999873,103,n5020609251,"5020609251",node,,,./0.png
-0.1247173,49.2886492999873,104,n1395447185,"1395447185",node,,3 chaises longues,./0.png
-0.1248165,49.2881841999873,105,n1395447184,"1395447184",node,,,./0.png
-0.1156772,49.2931539999873,106,n2244481101,"2244481101",node,,,./0.png
-0.1249548,49.2893970999873,107,n1395447187,"1395447187",node,,,./0.png
-0.1248968,49.2888454999873,108,n1395447186,"1395447186",node,,,./0.png
-0.1317796,49.2904399999873,109,n5019981676,"5019981676",node,,,./0.png
-0.1319204,49.2905939999873,110,n5019981675,"5019981675",node,,,./0.png
