X,Y,fid,osm_id,highway,name,wheelchair,line,shelter,recycling_,recyclin_1,recyclin_2,recyclin_3,recyclin_4,descriptio,shop,emergency,addr_stree,drinking_w,addr_city,capacity_d,bicycle_pa,atm,brand,brand_wiki,brand_wi_1,bridge_sup,motorcar,motorcycle,button_ope,traffic_si,network_wi,bench,check_date,image,survey_dat,NOM_RD,seamark_ga,seamark_si,waterway,cycleway,guidepost,fee,lit,surface,colour,marker,utility,seamark_be,seamark__1,seamark__2,seamark_to,seamark__3,addr_count,contact_fa,contact_ph,office,harbour,seamark_ha,seamark_na,contact__1,contact_we,takeaway,covered,internet_a,rooms,smoking,stars,dispensing,ref_FR_FIN,seamark_in,seamark_no,seamark__4,seamark__5,seamark__6,seamark__7,seamark__8,currency_E,drive_thro,seamark_mo,seamark__9,seamark_10,route_ref,outdoor_se,tobacco,diet_vegan,diet_veget,air_condit,butcher,craft,payment_ca,payment_cr,payment_ma,payment_vi,fire_hydra,display,support,visibility,vending,surveillan,defibrilla,indoor,map_size,fire_hyd_1,disused_em,payment_co,recyclin_5,parking_sp,operator_t,ref_UAI,school_FR,owner,ref_EU_EVS,socket_typ,socket_t_1,socket_t_2,backrest,uic_name,delivery,stile,ref_FR_PTT,ref_FR_P_1,telecom,telecom_me,recyclin_6,attraction,comment,level,swing_gate,email,ford,contact_ci,contact_ho,contact_po,contact_st,water_sour,official_r,fax,ref_FR_SIR,social_fac,social_f_1,type_FR_FI,board_type,smoothness,toilets_di,toilets_po,unisex,power,advertisin,ref_FR_Ora,lift_gate_,vehicle,wall,width,bollard,clothes,seafood,icon_url
-0.1318373,49.2820876999873,1,"4991336075",bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1195018,49.2870915999872,2,"4991180881",bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1377408,49.2829038999873,3,"5427406693",bus_stop,Chemin Cailloué,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1181576,49.2872700999873,4,"5023907502",bus_stop,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1320411,49.2822302999873,5,"4991336074",bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1314671,49.2841041999873,6,"5427406692",bus_stop,Guillaume le Conquérant,limited,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
0.0835769,49.3597861999874,7,"5212094514",bus_stop,Deauville - Gare Routière,,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1138866,49.2863225999873,8,"5427406689",bus_stop,Pasteur,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1065007,49.2941783999873,9,"4989659696",bus_stop,"Cabourg, Avenue Pasteur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flixbus 752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
0.2378679,49.4187930999875,10,"2003114548",bus_stop,Honfleur,,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1472519,49.2770184999872,11,"5427406695",bus_stop,Village,limited,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1244435,49.2874814999873,12,"1395447173",bus_stop,Breche,,"20;20 SCOL",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1373599,49.2828749999872,13,"5427406694",bus_stop,Chemin Cailloué,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1476918,49.2769458999872,14,"5427406696",bus_stop,Village,limited,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1319593,49.2841303999873,15,"5427406691",bus_stop,Guillaume le Conquérant,limited,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1276195,49.2815014999873,16,"4991320704",bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
-0.1145679,49.2866488999873,17,"5427406690",bus_stop,Pasteur,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
